timestamp,location-long,location-lat,sensor-type,individual-local-identifier
30:00.0,-75.46888,4.727008,gps,1(T5H-1363)
00:00.0,-75.469118,4.72657,gps,1(T5H-1363)
30:00.0,-75.468868,4.726918,gps,1(T5H-1363)
00:00.0,-75.468927,4.72676,gps,1(T5H-1363)
00:00.0,-75.467995,4.727203,gps,1(T5H-1363)
31:00.0,-75.468885,4.727005,gps,1(T5H-1363)
00:00.0,-75.469152,4.727333,gps,1(T5H-1363)
30:00.0,-75.467645,4.727198,gps,1(T5H-1363)
00:00.0,-75.46933,4.727137,gps,1(T5H-1363)
30:00.0,-75.469357,4.727612,gps,1(T5H-1363)
01:00.0,-75.468735,4.727498,gps,1(T5H-1363)
30:00.0,-75.468467,4.727733,gps,1(T5H-1363)
01:00.0,-75.469255,4.727612,gps,1(T5H-1363)
31:00.0,-75.468112,4.72743,gps,1(T5H-1363)
00:00.0,-75.468412,4.727583,gps,1(T5H-1363)
30:00.0,-75.468538,4.727362,gps,1(T5H-1363)
00:00.0,-75.468533,4.727362,gps,1(T5H-1363)
30:00.0,-75.468723,4.727763,gps,1(T5H-1363)
00:00.0,-75.4685,4.7275,gps,1(T5H-1363)
30:00.0,-75.46868,4.727455,gps,1(T5H-1363)
30:00.0,-75.468603,4.72752,gps,1(T5H-1363)
00:00.0,-75.468418,4.727588,gps,1(T5H-1363)
30:00.0,-75.469045,4.726058,gps,1(T5H-1363)
00:00.0,-75.46824,4.726937,gps,1(T5H-1363)
00:00.0,-75.469427,4.727448,gps,1(T5H-1363)
30:00.0,-75.469167,4.727863,gps,1(T5H-1363)
00:00.0,-75.470072,4.728133,gps,1(T5H-1363)
30:00.0,-75.468478,4.727718,gps,1(T5H-1363)
00:00.0,-75.468347,4.727675,gps,1(T5H-1363)
30:00.0,-75.46851,4.727628,gps,1(T5H-1363)
00:00.0,-75.468478,4.727642,gps,1(T5H-1363)
30:00.0,-75.468517,4.7277,gps,1(T5H-1363)
00:00.0,-75.468642,4.727715,gps,1(T5H-1363)
30:00.0,-75.467777,4.727258,gps,1(T5H-1363)
00:00.0,-75.468807,4.7279,gps,1(T5H-1363)
00:00.0,-75.468507,4.728482,gps,1(T5H-1363)
30:00.0,-75.468408,4.729733,gps,1(T5H-1363)
01:00.0,-75.468458,4.729955,gps,1(T5H-1363)
30:00.0,-75.46778,4.729157,gps,1(T5H-1363)
00:00.0,-75.468138,4.729788,gps,1(T5H-1363)
31:00.0,-75.467787,4.728733,gps,1(T5H-1363)
00:00.0,-75.467865,4.728717,gps,1(T5H-1363)
30:00.0,-75.467865,4.728725,gps,1(T5H-1363)
00:00.0,-75.467833,4.72875,gps,1(T5H-1363)
30:00.0,-75.467838,4.728687,gps,1(T5H-1363)
00:00.0,-75.467802,4.728692,gps,1(T5H-1363)
30:00.0,-75.468008,4.728598,gps,1(T5H-1363)
00:00.0,-75.467882,4.728705,gps,1(T5H-1363)
30:00.0,-75.467898,4.728818,gps,1(T5H-1363)
00:00.0,-75.467792,4.728712,gps,1(T5H-1363)
30:00.0,-75.467907,4.728732,gps,1(T5H-1363)
00:00.0,-75.467718,4.728648,gps,1(T5H-1363)
30:00.0,-75.467615,4.729133,gps,1(T5H-1363)
00:00.0,-75.467907,4.729105,gps,1(T5H-1363)
30:00.0,-75.467963,4.729143,gps,1(T5H-1363)
00:00.0,-75.46825,4.72992,gps,1(T5H-1363)
30:00.0,-75.46812,4.727068,gps,1(T5H-1363)
00:00.0,-75.468572,4.72591,gps,1(T5H-1363)
30:00.0,-75.469748,4.72524,gps,1(T5H-1363)
31:00.0,-75.469945,4.725518,gps,1(T5H-1363)
31:00.0,-75.468145,4.72668,gps,1(T5H-1363)
00:00.0,-75.468037,4.726655,gps,1(T5H-1363)
30:00.0,-75.468392,4.72673,gps,1(T5H-1363)
00:00.0,-75.468425,4.726432,gps,1(T5H-1363)
30:00.0,-75.468233,4.72665,gps,1(T5H-1363)
31:00.0,-75.468372,4.726718,gps,1(T5H-1363)
00:00.0,-75.468447,4.726843,gps,1(T5H-1363)
30:00.0,-75.468293,4.7267,gps,1(T5H-1363)
00:00.0,-75.468462,4.727202,gps,1(T5H-1363)
30:00.0,-75.468238,4.726702,gps,1(T5H-1363)
30:00.0,-75.468417,4.728522,gps,1(T5H-1363)
00:00.0,-75.468865,4.729907,gps,1(T5H-1363)
31:00.0,-75.468455,4.729453,gps,1(T5H-1363)
00:00.0,-75.468327,4.729623,gps,1(T5H-1363)
31:00.0,-75.473368,4.733788,gps,1(T5H-1363)
01:00.0,-75.468042,4.729478,gps,1(T5H-1363)
30:00.0,-75.467785,4.729477,gps,1(T5H-1363)
00:00.0,-75.467087,4.730195,gps,1(T5H-1363)
30:00.0,-75.467095,4.730005,gps,1(T5H-1363)
01:00.0,-75.467663,4.728615,gps,1(T5H-1363)
30:00.0,-75.467787,4.72871,gps,1(T5H-1363)
00:00.0,-75.46797,4.728705,gps,1(T5H-1363)
30:00.0,-75.467838,4.728822,gps,1(T5H-1363)
00:00.0,-75.467585,4.728723,gps,1(T5H-1363)
30:00.0,-75.467317,4.728732,gps,1(T5H-1363)
00:00.0,-75.467825,4.728768,gps,1(T5H-1363)
30:00.0,-75.467878,4.728607,gps,1(T5H-1363)
00:00.0,-75.467757,4.72869,gps,1(T5H-1363)
30:00.0,-75.46701,4.728665,gps,1(T5H-1363)
00:00.0,-75.4679,4.72882,gps,1(T5H-1363)
31:00.0,-75.46804,4.729512,gps,1(T5H-1363)
00:00.0,-75.468343,4.729455,gps,1(T5H-1363)
31:00.0,-75.46789,4.728785,gps,1(T5H-1363)
00:00.0,-75.468317,4.729165,gps,1(T5H-1363)
30:00.0,-75.467788,4.728468,gps,1(T5H-1363)
30:00.0,-75.468015,4.728387,gps,1(T5H-1363)
30:00.0,-75.467933,4.728522,gps,1(T5H-1363)
01:00.0,-75.467852,4.728517,gps,1(T5H-1363)
01:00.0,-75.468218,4.7285,gps,1(T5H-1363)
00:00.0,-75.467895,4.728572,gps,1(T5H-1363)
30:00.0,-75.467852,4.728512,gps,1(T5H-1363)
01:00.0,-75.467992,4.728345,gps,1(T5H-1363)
30:00.0,-75.467852,4.728473,gps,1(T5H-1363)
00:00.0,-75.467898,4.728515,gps,1(T5H-1363)
30:00.0,-75.467933,4.72858,gps,1(T5H-1363)
01:00.0,-75.46865,4.728653,gps,1(T5H-1363)
30:00.0,-75.468468,4.728558,gps,1(T5H-1363)
00:00.0,-75.467903,4.728502,gps,1(T5H-1363)
30:00.0,-75.468198,4.728102,gps,1(T5H-1363)
00:00.0,-75.468412,4.727918,gps,1(T5H-1363)
30:00.0,-75.468338,4.727743,gps,1(T5H-1363)
00:00.0,-75.468572,4.728035,gps,1(T5H-1363)
31:00.0,-75.46834,4.727768,gps,1(T5H-1363)
00:00.0,-75.468297,4.727718,gps,1(T5H-1363)
30:00.0,-75.469125,4.727835,gps,1(T5H-1363)
00:00.0,-75.469257,4.727693,gps,1(T5H-1363)
30:00.0,-75.469218,4.727483,gps,1(T5H-1363)
01:00.0,-75.469063,4.727348,gps,1(T5H-1363)
30:00.0,-75.468848,4.726675,gps,1(T5H-1363)
00:00.0,-75.468948,4.72657,gps,1(T5H-1363)
30:00.0,-75.46872,4.726502,gps,1(T5H-1363)
00:00.0,-75.468947,4.726458,gps,1(T5H-1363)
30:00.0,-75.468978,4.726622,gps,1(T5H-1363)
30:00.0,-75.468913,4.726617,gps,1(T5H-1363)
00:00.0,-75.468797,4.726632,gps,1(T5H-1363)
30:00.0,-75.468767,4.726598,gps,1(T5H-1363)
30:00.0,-75.468908,4.726598,gps,1(T5H-1363)
00:00.0,-75.468982,4.726712,gps,1(T5H-1363)
30:00.0,-75.469037,4.72773,gps,1(T5H-1363)
00:00.0,-75.468723,4.726943,gps,1(T5H-1363)
30:00.0,-75.468377,4.726637,gps,1(T5H-1363)
00:00.0,-75.468623,4.726363,gps,1(T5H-1363)
31:00.0,-75.46858,4.725635,gps,1(T5H-1363)
00:00.0,-75.468807,4.725825,gps,1(T5H-1363)
30:00.0,-75.46878,4.726833,gps,1(T5H-1363)
31:00.0,-75.46873,4.724423,gps,1(T5H-1363)
00:00.0,-75.468508,4.72099,gps,1(T5H-1363)
30:00.0,-75.468312,4.721027,gps,1(T5H-1363)
31:00.0,-75.465737,4.718427,gps,1(T5H-1363)
01:00.0,-75.46872,4.72114,gps,1(T5H-1363)
01:00.0,-75.46855,4.720937,gps,1(T5H-1363)
31:00.0,-75.468645,4.720973,gps,1(T5H-1363)
31:00.0,-75.46864,4.720998,gps,1(T5H-1363)
00:00.0,-75.468927,4.720892,gps,1(T5H-1363)
31:00.0,-75.468953,4.7207,gps,1(T5H-1363)
31:00.0,-75.468687,4.721,gps,1(T5H-1363)
31:00.0,-75.468598,4.721038,gps,1(T5H-1363)
00:00.0,-75.468315,4.721088,gps,1(T5H-1363)
31:00.0,-75.46827,4.720802,gps,1(T5H-1363)
01:00.0,-75.46858,4.720997,gps,1(T5H-1363)
01:00.0,-75.468587,4.720917,gps,1(T5H-1363)
30:00.0,-75.468847,4.720942,gps,1(T5H-1363)
01:00.0,-75.468597,4.720732,gps,1(T5H-1363)
31:00.0,-75.468707,4.721092,gps,1(T5H-1363)
01:00.0,-75.468645,4.72107,gps,1(T5H-1363)
01:00.0,-75.468648,4.721015,gps,1(T5H-1363)
31:00.0,-75.46866,4.721008,gps,1(T5H-1363)
30:00.0,-75.4684,4.721757,gps,1(T5H-1363)
31:00.0,-75.469183,4.721222,gps,1(T5H-1363)
01:00.0,-75.468643,4.720963,gps,1(T5H-1363)
01:00.0,-75.468657,4.720993,gps,1(T5H-1363)
30:00.0,-75.46865,4.720993,gps,1(T5H-1363)
00:00.0,-75.469202,4.720653,gps,1(T5H-1363)
31:00.0,-75.468515,4.72123,gps,1(T5H-1363)
31:00.0,-75.467983,4.720382,gps,1(T5H-1363)
31:00.0,-75.468563,4.720948,gps,1(T5H-1363)
31:00.0,-75.468552,4.720942,gps,1(T5H-1363)
01:00.0,-75.469017,4.721347,gps,1(T5H-1363)
31:00.0,-75.467777,4.72085,gps,1(T5H-1363)
31:00.0,-75.468405,4.72078,gps,1(T5H-1363)
31:00.0,-75.468333,4.721145,gps,1(T5H-1363)
01:00.0,-75.468797,4.720932,gps,1(T5H-1363)
31:00.0,-75.468042,4.721347,gps,1(T5H-1363)
31:00.0,-75.469003,4.721415,gps,1(T5H-1363)
31:00.0,-75.468713,4.720998,gps,1(T5H-1363)
01:00.0,-75.468408,4.721153,gps,1(T5H-1363)
31:00.0,-75.468655,4.720978,gps,1(T5H-1363)
00:00.0,-75.468767,4.72092,gps,1(T5H-1363)
