event-id,visible,timestamp,location-long,location-lat,gps:dop,gps-time-to-fix,height-above-msl,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3401862913,true,2007-03-22 15:31:00.000,-75.468388,4.724343,1.7,67.0,3123.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862914,true,2007-03-22 16:30:00.000,-75.468013,4.723702,2.4,64.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862915,true,2007-03-23 04:01:00.000,-75.468923,4.725415,3.5,74.0,2932.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862916,true,2007-03-23 04:30:00.000,-75.469155,4.727553,1.8,45.0,2932.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862917,true,2007-03-23 05:00:00.000,-75.469155,4.727633,1.6,19.0,2914.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862918,true,2007-03-23 05:30:00.000,-75.469123,4.727522,1.5,34.0,2921.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862919,true,2007-03-23 06:01:00.000,-75.46888,4.727122,2.1,88.0,2929.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862920,true,2007-03-23 06:30:00.000,-75.468973,4.726893,2.2,28.0,2904.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862921,true,2007-03-23 07:00:00.000,-75.468902,4.72701,2.4,52.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862922,true,2007-03-23 07:30:00.000,-75.468863,4.726958,2.5,55.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862923,true,2007-03-23 08:00:00.000,-75.468917,4.726948,2.0,63.0,2906.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862924,true,2007-03-23 08:31:00.000,-75.468923,4.726932,2.0,75.0,2913.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862925,true,2007-03-23 09:00:00.000,-75.46898,4.726953,2.3,17.0,2896.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862926,true,2007-03-23 10:00:00.000,-75.4681,4.72556,4.1,64.0,2895.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862927,true,2007-03-23 10:30:00.000,-75.468808,4.72726,2.2,38.0,2895.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862928,true,2007-03-23 11:00:00.000,-75.469143,4.727018,2.0,20.0,2919.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862929,true,2007-03-23 11:31:00.000,-75.469097,4.727342,3.4,71.0,2920.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862930,true,2007-03-23 12:00:00.000,-75.468862,4.727423,2.9,26.0,2916.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862931,true,2007-03-23 12:30:00.000,-75.46896,4.726823,1.8,47.0,2917.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862932,true,2007-03-23 13:00:00.000,-75.468497,4.726848,3.2,59.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862933,true,2007-03-23 13:30:00.000,-75.468507,4.727232,2.0,63.0,2917.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862934,true,2007-03-23 14:00:00.000,-75.468368,4.727572,2.1,44.0,2855.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862935,true,2007-03-23 14:30:00.000,-75.468052,4.726708,3.9,65.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862936,true,2007-03-23 15:01:00.000,-75.468395,4.72676,4.4,80.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862937,true,2007-03-23 15:30:00.000,-75.468247,4.726937,1.4,42.0,2856.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862938,true,2007-03-23 16:00:00.000,-75.468075,4.726957,1.7,62.0,2893.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862939,true,2007-03-23 16:30:00.000,-75.468175,4.727203,3.0,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862940,true,2007-03-23 18:01:00.000,-75.46806,4.727013,2.5,77.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862941,true,2007-03-23 19:30:00.000,-75.46811,4.727108,2.0,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862942,true,2007-03-23 20:01:00.000,-75.468057,4.727155,2.0,77.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862943,true,2007-03-23 20:30:00.000,-75.468005,4.727125,1.9,58.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862944,true,2007-03-23 21:00:00.000,-75.468055,4.72704,1.6,41.0,2894.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862945,true,2007-03-23 22:00:00.000,-75.468185,4.727188,9.4,19.0,2982.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862946,true,2007-03-23 22:30:00.000,-75.468335,4.72761,8.5,43.0,2945.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862947,true,2007-03-23 23:00:00.000,-75.467732,4.727108,6.2,54.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862948,true,2007-03-23 23:30:00.000,-75.46789,4.727012,1.8,21.0,2938.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862949,true,2007-03-24 00:00:00.000,-75.467875,4.727142,1.6,39.0,2937.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862950,true,2007-03-24 00:30:00.000,-75.467675,4.727287,9.3,65.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862951,true,2007-03-24 01:00:00.000,-75.468023,4.727427,1.9,41.0,2937.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862952,true,2007-03-24 01:31:00.000,-75.468065,4.727402,1.9,64.0,2941.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862953,true,2007-03-24 02:00:00.000,-75.467858,4.727147,4.6,17.0,2906.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862954,true,2007-03-24 02:30:00.000,-75.46736,4.727008,3.5,19.0,2843.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862955,true,2007-03-24 03:00:00.000,-75.467672,4.726868,2.2,16.0,2927.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862956,true,2007-03-24 03:30:00.000,-75.46801,4.727167,3.1,65.0,2927.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862957,true,2007-03-24 04:00:00.000,-75.467787,4.72738,1.8,40.0,2926.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862958,true,2007-03-24 04:30:00.000,-75.466513,4.729105,1.6,63.0,2922.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862959,true,2007-03-24 05:30:00.000,-75.46822,4.729798,2.1,22.0,2922.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862960,true,2007-03-24 06:00:00.000,-75.46821,4.729638,1.8,42.0,2922.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862961,true,2007-03-24 06:30:00.000,-75.468468,4.729438,2.2,25.0,2922.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862962,true,2007-03-24 07:00:00.000,-75.468213,4.728947,3.2,52.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862963,true,2007-03-24 07:30:00.000,-75.467732,4.728952,1.8,41.0,2966.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
