timestamp,location-long,location-lat,sensor-type,individual-local-identifier
00:00.0,-115.6482,51.58971,gps,85
00:00.0,-115.66728,51.58212,gps,85
00:00.0,-115.66755,51.58277,gps,85
00:00.0,-115.66842,51.58172,gps,85
00:00.0,-115.66729,51.58221,gps,85
00:00.0,-115.66729,51.58215,gps,85
00:00.0,-115.6693,51.58302,gps,85
00:00.0,-115.66724,51.58273,gps,85
00:00.0,-115.6689,51.58383,gps,85
00:00.0,-115.66731,51.58215,gps,85
00:00.0,-115.66783,51.58255,gps,85
00:00.0,-115.66768,51.58262,gps,85
00:00.0,-115.66678,51.5823,gps,85
00:00.0,-115.66691,51.58219,gps,85
00:00.0,-115.66731,51.58244,gps,85
00:00.0,-115.66961,51.58394,gps,85
00:00.0,-115.6697,51.58398,gps,85
00:00.0,-115.58449,51.55349,gps,85
00:00.0,-115.55099,51.58277,gps,85
00:00.0,-115.55136,51.58248,gps,85
00:00.0,-115.50101,51.60527,gps,85
00:00.0,-115.47135,51.62291,gps,85
00:00.0,-115.525,51.63238,gps,85
00:00.0,-115.66775,51.58215,gps,85
00:00.0,-115.66785,51.58226,gps,85
00:00.0,-115.67087,51.58415,gps,85
00:00.0,-115.67081,51.58414,gps,85
00:00.0,-115.67119,51.58367,gps,85
00:00.0,-115.67033,51.58355,gps,85
00:00.0,-115.64551,51.59397,gps,85
00:00.0,-115.48132,51.63061,gps,85
00:00.0,-115.49128,51.62243,gps,85
00:00.0,-115.49129,51.62227,gps,85
00:00.0,-115.66604,51.58438,gps,85
00:00.0,-115.65876,51.59905,gps,85
00:00.0,-115.67084,51.58352,gps,85
00:00.0,-115.67504,51.58175,gps,85
00:00.0,-115.66933,51.58159,gps,85
00:00.0,-115.67398,51.58229,gps,85
00:00.0,-115.69392,51.57052,gps,85
00:00.0,-115.67808,51.57817,gps,85
00:00.0,-115.68701,51.57398,gps,85
00:00.0,-115.67331,51.58021,gps,85
00:00.0,-115.66563,51.58101,gps,85
00:00.0,-115.66927,51.58277,gps,85
00:00.0,-115.67057,51.58379,gps,85
00:00.0,-115.67045,51.58423,gps,85
00:00.0,-115.67049,51.58398,gps,85
00:00.0,-115.69661,51.57209,gps,85
00:00.0,-115.69649,51.57203,gps,85
